nombre,cantidad,genero
Abbi,1,F
Abbie,3,F
Abby,129,F
Abi,30,F
Abigail,1149,F
Abril,2082,F
Abryl,7,F
Ada,71,F
Adabel,39,F
Adabella,8,F
Adalis,10,F
Adaluz,23,F
Adara,19,F
Adda,4,F
Adela,95,F
Adelaida,10,F
Adele,11,F
Adelina,42,F
Adhara,6,F
Adolfina,107,F
Adra,1,F
Adria,1,F
Adriana,115,F
Ady,3,F
Afra,15,F
Africa,12,F
Afrika,14,F
Agata,15,F
Agatha,25,F
Agnes,7,F
Agostina,2413,F
Agustina,4129,F
Ahinara,9,F
Ahinoa,1,F
Ahitana,5,F
Aiala,2,F
Aida,17,F
Aidana,1,F
Aien,4,F
Aién,3,F
Aileen,6,F
Ailen,434,F
Ailin,457,F
Ailyn,36,F
Aimara,91,F
Aime,87,F
Aimé,65,F
Aimee,39,F
Aimi,5,F
Aimy,1,F
Aina,15,F
Ainara,375,F
Ainelen,3,F
Ainhara,7,F
Ainhoa,179,F
Ainoa,4,F
Ainoha,7,F
Aira,2,F
Aisha,55,F
Aitana,652,F
Aitanna,1,F
Aithana,2,F
Aitiana,19,F
Aixa,134,F
Akane,2,F
Akemi,17,F
Akira,6,F
Alahi,45,F
Alai,35,F
Alaia,40,F
Alana,57,F
Alanis,45,F
Alanna,5,F
Alay,16,F
Alba,140,F
Albertina,313,F
Aldana,321,F
Alegra,141,F
Alegria,2,F
Aleida,24,F
Alejandra,173,F
Alejandrina,26,F
Aleli,50,F
Alelí,13,F
Alena,21,F
Aleska,1,F
Alessa,2,F
Alessandra,26,F
Alessia,66,F
Alex,514,F
Alexa,46,F
Alexandra,116,F
Alexia,361,F
Alfonsina,1288,F
Alice,33,F
Alicia,92,F
Alin,6,F
Alina,315,F
Aline,26,F
Alis,2,F
Alisa,3,F
Alisha,3,F
Alison,147,F
Alissa,5,F
Alisson,3,F
Alix,1,F
Aliza,5,F
Allegra,589,F
Allison,16,F
Allyson,1,F
Alma,6257,F
Almendra,302,F
Almudena,22,F
Alondra,58,F
Aluhe,8,F
Alumine,38,F
Aluminé,33,F
Alyson,7,F
Alyssa,5,F
Amada,9,F
Amahia,2,F
Amaia,139,F
Amal,5,F
Amalia,545,F
Amancay,95,F
Amanda,796,F
Amapola,23,F
Amara,24,F
Amaranta,12,F
Amarilis,5,F
Amaris,2,F
Amarú,11,F
Amaya,17,F
Ambar,2472,F
Ámbar,1,F
Amber,13,F
Ambra,5,F
Ameli,39,F
Amelí,12,F
Amelia,531,F
Amelie,351,F
Amely,6,F
América,7,F
Ami,8,F
Amiel,8,F
Amina,12,F
Amir,139,F
Amira,208,F
Amma,36,F
Ammy,2,F
Amor,2,F
Amorina,26,F
Amparo,2435,F
Amy,111,F
Ana,1587,F
Anabel,140,F
Anabela,43,F
Anabella,170,F
Anaclara,55,F
Anael,8,F
Anahi,281,F
Anais,5,F
Anaís,5,F
Anali,4,F
Analia,123,F
Analía,60,F
Analuz,155,F
Analy,4,F
Ananda,10,F
Anapaula,10,F
